model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Hybrid MLP-GAT,2025-09-09,34,0.8710655206353656,1.0310394397517775,-0.583147019668318,0.13893638864705882
Hybrid MLP-GAT,2025-09-10,15,0.5402488729311484,0.6271531586902528,-0.5063832828154167,-0.24713882686399996
Hybrid MLP-GAT,2025-09-11,24,0.6017267823395597,0.684953381213155,-0.7523090887504319,-0.47451702120833333
Hybrid MLP-GAT,2025-09-12,35,0.6590462226503715,0.7954045655142666,-0.5365998666201319,-0.4327367754285715
Hybrid MLP-GAT,2025-09-15,26,0.5779849804238849,0.6957981761747207,-0.6407614733593968,-0.22477112038461539
Hybrid MLP-GAT,2025-09-16,24,0.5952966937945238,0.7668294247927454,-0.5739597231925776,-0.3090487335416667
Hybrid MLP-GAT,2025-09-17,26,0.31920645897949923,0.4302553867219911,-0.603710324718402,-0.44254206780769234
Hybrid MLP-GAT,2025-09-18,30,0.4339210252066646,0.5260365973275997,-0.5061139052112897,-0.19770011206666666
Hybrid MLP-GAT,2025-09-19,27,0.40432170483691865,0.507728307822384,-0.46342689792315167,-0.26310522270370373
Hybrid MLP-GAT,2025-09-22,32,0.4399204204435401,0.583245670541745,-0.50593942462001,-0.21132016428125
Hybrid MLP-GAT,2025-09-23,20,0.7769551176366751,0.8984886258226484,-0.5915107115637511,0.079721873025
Hybrid MLP-GAT,2025-09-24,18,0.25955679529656744,0.3149221723364323,-0.6660241770247618,-0.49385147644444444
Hybrid MLP-GAT,2025-09-25,23,0.35619873314113826,0.4731898162574507,-0.5250428372427173,-0.20954722200000003
Hybrid MLP-GAT,2025-09-26,30,0.3685495436619203,0.5176235029718764,-0.4215045191347599,-0.27099976859999997
Hybrid MLP-GAT,2025-09-29,39,0.7089348606112515,0.856748886428367,0.32395532497992885,-0.24413565679487187
Hybrid MLP-GAT,2025-09-30,25,0.7579014096689669,0.8591797384354541,0.2917064583301544,-0.3455029604
Hybrid MLP-GAT,2025-10-01,25,0.7192489990051963,0.855621223535101,0.2020943395793438,-0.20188880968000003
Hybrid MLP-GAT,2025-10-02,29,0.8140267462548235,0.9710878277171523,0.21972038982243375,-0.4186531682758622
Hybrid MLP-GAT,2025-10-03,25,0.6173929409040596,0.6908759502157678,0.175862440764904,-0.2360931644
Hybrid MLP-GAT,2025-10-06,32,0.47041996825583676,0.588512772935709,-0.26870964182307944,-0.04569590946875
Hybrid MLP-GAT,2025-10-07,25,0.4200008253814793,0.5009752478421172,-0.175495589338243,-0.16826713887999997
Hybrid MLP-GAT,2025-10-08,28,0.43101009919434585,0.5712296604731825,-0.17656355976526225,-0.22708454214285714
Hybrid MLP-GAT,2025-10-09,27,0.45686166567677117,0.6185632846455916,-0.17065722467722716,-0.26878482407407406
Hybrid MLP-GAT,2025-10-10,29,0.5061082819427698,0.661819141603866,-0.13070322923233796,-0.14345364031034483
Hybrid MLP-GAT,2025-10-13,25,1.0958891599790042,1.1980011158757087,0.7078819409012794,-0.32564348696
Hybrid MLP-GAT,2025-10-14,21,1.095057659049432,1.1941714733445041,0.9612667716684795,-0.13379088738095238
Hybrid MLP-GAT,2025-10-15,32,0.8790863898441477,0.977703930527137,0.8789658676832914,0.026885090031249993
Hybrid MLP-GAT,2025-10-16,30,0.929294845854725,1.0248760380888204,0.8441125822563966,-0.007989939311666663
Hybrid MLP-GAT,2025-10-17,32,0.9696851499395563,1.072061911467578,0.7578306240029633,-0.10496430353125
Hybrid MLP-GAT,2025-10-20,38,0.44537994632048433,0.5749764942071857,0.22908238466142825,0.10418488118421051
Hybrid MLP-GAT,2025-10-21,25,0.6535541801178434,0.7559446808716223,0.026874018348753453,0.15534305052
Hybrid MLP-GAT,2025-10-22,21,0.4253956454745059,0.5210572900429841,-0.14036475024407818,0.03491528904761905
Hybrid MLP-GAT,2025-10-23,25,0.5218166235184991,0.6765133646291306,-0.24974001288414002,-0.18996430413999998
Hybrid MLP-GAT,2025-10-24,34,0.5252631084651419,0.6627092725244402,-0.26624001962516236,-0.30229162644117646
Hybrid MLP-GAT,2025-10-27,31,0.7609926386443043,0.8761306174031673,-0.06557656277812296,0.19117998641935485
Hybrid MLP-GAT,2025-10-28,50,0.49388491803547896,0.6098413084494364,0.12101141020655631,0.15929334552
Hybrid MLP-GAT,2025-10-29,39,0.4975236769660033,0.6202454521564448,0.019094500571298276,0.04282904016179486
Hybrid MLP-GAT,2025-10-30,58,0.5951383940208583,0.7190657632658048,-0.13119824494010415,-0.039692739229310346
Hybrid MLP-GAT,2025-10-31,49,0.6504741395760619,0.7902368701074091,0.011479436795284249,-0.27456952248979594
Hybrid MLP-GAT,2025-11-03,27,0.47369550605665767,0.6023429241112297,0.003313953815786927,0.040560416740740735
Hybrid MLP-GAT,2025-11-04,39,0.5720518266542002,0.658849841847191,-0.38115324395207256,-0.07794893527435898
Hybrid MLP-GAT,2025-11-05,21,0.3486680857286982,0.44156058269228315,-0.25644739078623907,-0.3311228236190476
Hybrid MLP-GAT,2025-11-06,24,0.3963456200186018,0.5500160450112173,-0.28337500321989256,-0.4935705041666667
Hybrid MLP-GAT,2025-11-07,25,0.40970611470533336,0.5404724293784265,-0.3970564894378185,-0.4635130904
Hybrid MLP-GAT,2025-11-10,26,0.3627102593073375,0.44412787509796686,-0.5797752434244523,-0.3697998738461538
Hybrid MLP-GAT,2025-11-11,26,0.32145634973081116,0.37963784441647586,-0.6995792504973136,-0.6433447076923079
Hybrid MLP-GAT,2025-11-12,21,0.4026631949247827,0.5136673787003355,-0.5520115909831864,-0.49221589909523805
Hybrid MLP-GAT,2025-11-13,18,0.34427376042589397,0.4259677073064587,-0.7133575197723176,-0.6127345066666667
Hybrid MLP-GAT,2025-11-14,33,0.5631271155718818,0.6778138155932663,-0.70503772998398,-0.22929140172727275
Hybrid MLP-GAT,2025-11-17,32,0.40462005093839737,0.526460211435761,-0.8600367773324251,-0.5064945236875
Hybrid MLP-GAT,2025-11-18,20,0.5183127296358976,0.6364596685733065,-0.6814870437607169,-0.19494376240000003
Hybrid MLP-GAT,2025-11-19,29,0.4158144113824672,0.5288542804458668,-0.32233051001897145,-0.4938728565862068
Hybrid MLP-GAT,2025-11-20,19,0.3041774935171308,0.40821862037402046,-0.45044055581092834,-0.1845430194736842
Hybrid MLP-GAT,2025-11-21,24,0.4233837489235506,0.5477275824768111,-0.3334377268329263,-0.4465154646466667
Hybrid MLP-GAT,2025-11-24,40,0.41666076012526504,0.5609704310797792,-0.3597063962370157,-0.37819217607499994
Hybrid MLP-GAT,2025-11-25,29,0.3253006290096342,0.4216427936494168,-0.4900795557889445,-0.43368292344827586
Hybrid MLP-GAT,2025-11-26,33,0.629719210063169,0.7332063534902544,-0.3659449321302501,-0.04600122981818182
Hybrid MLP-GAT,2025-11-27,27,0.5051540750152909,0.6037516783092057,-0.22846735165350968,-0.25454589803703703
Hybrid MLP-GAT,2025-11-28,39,0.3736768213189018,0.48989184074629966,-0.33838716798867935,-0.2899070031025641
Hybrid MLP-GAT,2025-12-01,32,0.4685914080839557,0.6347523092274493,-0.11428797220651177,-0.39192267209375
Hybrid MLP-GAT,2025-12-02,35,0.49137174543375134,0.6295993127362685,-0.05120044486331088,-0.06823872934285716
Hybrid MLP-GAT,2025-12-03,25,0.5779256523152431,0.6874440308362769,-0.11792576879262924,0.08034262532
Hybrid MLP-GAT,2025-12-04,25,0.5928167870688701,0.7002084469736364,-0.14116075962781907,0.0999903338
Hybrid MLP-GAT,2025-12-05,30,0.5600531148572319,0.6473905292877907,0.08346801071893424,0.1748060466666667
Hybrid MLP-GAT,2025-12-08,38,0.4224899514999771,0.5411554099712397,0.20761902061732193,0.15832554100789475
Hybrid MLP-GAT,2025-12-09,21,0.6226813714765971,0.6999488086612927,0.6144675633737019,0.04146512823666667
Hybrid MLP-GAT,2025-12-10,22,0.6515136415505401,0.7491012877914097,0.49401991814374924,0.03983271277272728
Hybrid MLP-GAT,2025-12-11,27,0.9283710530588587,1.0251540736506148,0.7375843146884883,-0.19078673837037033
Hybrid MLP-GAT,2025-12-12,27,0.6031565018855317,0.7471028991286532,0.3017797464573825,-0.17759075688888887
Hybrid MLP-GAT,2025-12-15,27,0.3620426671168705,0.4612271047205769,0.020687360980513464,-0.06118605714814815
Hybrid MLP-GAT,2025-12-16,26,0.47554720520341126,0.560714471274129,-0.14098394334387893,0.10266517515384616
Hybrid MLP-GAT,2025-12-17,36,0.4143745628825864,0.4912432212589893,-0.21214387824551928,-0.03618263766666666
Hybrid MLP-GAT,2025-12-18,22,0.5231639116774907,0.6696758214267233,-0.10292873489247127,-0.08146849318636364
Hybrid MLP-GAT,2025-12-19,31,0.45297883346849804,0.5711598324879361,-0.10720998959075059,-0.10485155490322583
Hybrid MLP-GAT,2025-12-22,41,0.5718780520268106,0.7146147572492494,-0.2593194145436694,0.019254860204878044
Hybrid MLP-GAT,2025-12-23,32,0.5024965854708335,0.6087176514159213,-0.23235947964712977,-0.04736255434375
Hybrid MLP-GAT,2025-12-24,32,0.6250389176419757,0.7344257428249772,-0.2970215806271881,-0.04739012043750001
Linear Regression,2025-07-21,48,0.35366233395178065,0.4145611586462102,0.046077619617184006,0.059341430835416674
Linear Regression,2025-07-22,30,1.0367870846319769,1.12878328565365,0.9995107176713646,0.033601888489999995
Linear Regression,2025-07-23,30,0.875313134315533,0.973627690111286,0.9202205285429954,0.07237141822
Linear Regression,2025-07-24,31,1.0105497167821598,1.1010957091251747,0.9343916881949671,-0.00283518058064516
Linear Regression,2025-07-25,45,0.847042438330102,0.9831520518003777,0.7596078343999882,0.012537977295555551
Linear Regression,2025-07-28,50,0.8926289967388276,0.9877415845057752,0.9369582717120647,0.094858399812
Linear Regression,2025-07-29,60,0.641800046625508,0.7545811217401932,0.45427825953811407,0.09627685534166666
Linear Regression,2025-07-30,83,0.5297342204682256,0.6117903341542659,0.10702851389994822,0.07154791111108433
Linear Regression,2025-07-31,76,0.5014505968946733,0.6098990522861065,0.08838029628570535,-0.04983681051315789
Linear Regression,2025-08-01,37,0.5032731493884764,0.5817063416598863,-0.0745088876904668,-0.11286555051351352
Linear Regression,2025-08-04,38,0.5530382417360844,0.6246184215033139,-0.10145948068575787,-0.1370399879447369
Linear Regression,2025-08-05,36,0.48872127362484996,0.5785854540848387,-0.37487867526296115,-0.08292643221111111
Linear Regression,2025-08-06,26,0.5054946248754025,0.5553339673196676,-0.14083578982032263,-0.1282395566923077
Linear Regression,2025-08-07,36,0.505887310907536,0.5732340660774559,-0.23988299361533588,-0.1688639323888889
Linear Regression,2025-08-08,26,0.42733679084860327,0.5214986038749275,-0.23521079500922218,-0.18888972352307695
Linear Regression,2025-08-11,34,0.4396417700937549,0.5392356219015275,-0.23858163461965673,-0.22180175732352939
Linear Regression,2025-08-12,40,0.546396976434157,0.6386503422185469,-0.021510404278524225,-0.18828125029999998
Linear Regression,2025-08-13,40,0.5038018376197646,0.6336879425924373,-0.02204249510541558,-0.192370605625
Linear Regression,2025-08-14,47,0.5305859137325953,0.6227518521194046,-0.03528345249434735,-0.20255880125531917
Linear Regression,2025-08-15,47,0.5205679433137101,0.6822413507424188,0.10872904429251844,-0.21132708702127662
Linear Regression,2025-08-18,48,0.8059612514441169,0.999104756963065,0.29530955080796656,-0.21390787727083335
Linear Regression,2025-08-19,32,0.9723211294567691,1.142565622824674,0.6199170272011543,-0.29323577832500003
Linear Regression,2025-08-20,22,0.8642704903503856,0.9968677926735634,0.5331480452282862,-0.29042746827272725
Linear Regression,2025-08-21,27,0.7205842589594758,0.8439751356534682,0.43002829935263703,-0.20125325504444447
Linear Regression,2025-08-22,22,0.5590294882757816,0.7095881851630903,0.021112949841401794,-0.1800759080909091
Linear Regression,2025-08-25,35,0.4171113805204625,0.5236933186825485,-0.38995374560888324,-0.16145368358228573
Linear Regression,2025-08-26,29,0.7024436299748821,0.7266384685269812,-0.8668567743794672,-0.23217773489655172
Linear Regression,2025-08-27,48,0.5791144955276354,0.660550903897023,-0.37079950018475455,-0.1610005694625
Linear Regression,2025-08-28,44,0.4008415989655676,0.5077913776902195,-0.20006302898135883,-0.1359863282409091
Linear Regression,2025-08-29,68,0.4901989213992749,0.5846763938264793,-0.1453050631166929,-0.1848898493735294
Linear Regression,2025-09-03,57,0.4121887958687993,0.5016528316676797,-0.23750580723086992,-0.1906481287859649
Linear Regression,2025-09-04,33,0.42567920041047985,0.5213912319571925,-0.2706651750839118,-0.22759824640909093
Linear Regression,2025-09-05,40,0.408173130122991,0.5302738532985628,-0.26589589260984214,-0.298797608
Linear Regression,2025-09-08,34,0.4794070269497041,0.5485643992251398,-0.692036332014729,-0.3129092939705882
Linear Regression,2025-09-09,34,0.5377066734021234,0.6213275769650372,-0.583147019668318,-0.2246165545882353
Linear Regression,2025-09-10,15,0.42929121790830965,0.5102597630564853,-0.5063832828154167,-0.3451660158
Linear Regression,2025-09-11,24,0.4914052071557194,0.5594322136393904,-0.7523090887504319,-0.4213765509166667
Linear Regression,2025-09-12,35,0.528935627873712,0.6107904066397752,-0.5365998666201319,-0.4171735506114286
Linear Regression,2025-09-15,26,0.43058673220716326,0.4615321309519754,-0.6407614733593968,-0.35571289223076924
Linear Regression,2025-09-16,24,0.38473688547658397,0.4987519019667417,-0.5739597231925776,-0.39455159529166667
Linear Regression,2025-09-17,26,0.26526376921983746,0.3113827790342923,-0.603710324718402,-0.4327674285384615
Linear Regression,2025-09-18,30,0.3558871408294858,0.424444797727271,-0.5061139052112897,-0.27894693950000005
Linear Regression,2025-09-19,27,0.33134261226210354,0.3897287616166681,-0.46342689792315167,-0.3384241180740741
Linear Regression,2025-09-22,32,0.4276267333259883,0.4982805164838689,-0.50593942462001,-0.3056564335625
Linear Regression,2025-09-23,20,0.5231232629129441,0.579327859494128,-0.5915107115637511,-0.25760498005
Linear Regression,2025-09-24,18,0.4371640897695242,0.48070051098126376,-0.6660241770247618,-0.2959933807777778
Linear Regression,2025-09-25,23,0.3798107487528565,0.41980566303285716,-0.5250428372427173,-0.2769616182608696
Linear Regression,2025-09-26,30,0.418044951588927,0.4740961634273265,-0.4215045191347599,-0.21162923136666667
Linear Regression,2025-09-29,39,0.6397369374176926,0.7597301275300274,0.32395532497992885,-0.2061986670769231
Linear Regression,2025-09-30,25,0.6205185410289666,0.7123087924454685,0.2917064583301544,-0.17618164143999998
Linear Regression,2025-10-01,25,0.558222945304562,0.6579352255742583,0.2020943395793438,-0.14637695220000002
Linear Regression,2025-10-02,29,0.6345405021491249,0.742047519809123,0.21972038982243375,-0.20751111348275864
Linear Regression,2025-10-03,25,0.4523156291176182,0.5450486075536871,0.175862440764904,-0.142314453724
Linear Regression,2025-10-06,32,0.4117140097318188,0.49446408301491696,-0.26870964182307944,-0.08200836239437499
Linear Regression,2025-10-07,25,0.3359793289033227,0.4118536151082373,-0.175495589338243,-0.019355468759999998
Linear Regression,2025-10-08,28,0.3332570007969052,0.4481271575875193,-0.17656355976526225,-0.18856375560714286
Linear Regression,2025-10-09,27,0.3624742975124658,0.4770831426933724,-0.17065722467722716,-0.16278754364444445
Linear Regression,2025-10-10,29,0.45695664491064875,0.5518223236639304,-0.13070322923233796,-0.14604660579310344
Linear Regression,2025-10-13,25,0.9736287174489273,1.078376337593767,0.7078819409012794,-0.21066406224
Linear Regression,2025-10-14,21,1.1538236624695923,1.2252066376999284,0.9612667716684795,-0.19070870385714286
Linear Regression,2025-10-15,32,1.0285498105800757,1.0865433238919133,0.8789658676832914,-0.100044250025
Linear Regression,2025-10-16,30,0.9705703090576437,1.062408166521671,0.8441125822563966,-0.08202311203333332
Linear Regression,2025-10-17,32,0.9248414474583064,1.010411767092818,0.7578306240029633,-0.0962677001125
Linear Regression,2025-10-20,38,0.47036621221122116,0.5791782492467874,0.22908238466142825,-0.049290707473684206
Linear Regression,2025-10-21,25,0.546759216263498,0.6142749428366097,0.026874018348753453,0.003798827879999993
Linear Regression,2025-10-22,21,0.38100013317051273,0.47985430417357583,-0.14036475024407818,-0.11871047190476187
Linear Regression,2025-10-23,25,0.43639251100437926,0.5560017191100189,-0.24974001288414002,-0.2793261708
Linear Regression,2025-10-24,34,0.4787656055871179,0.5763831185333738,-0.26624001962516236,-0.21029124708823527
Linear Regression,2025-10-27,31,0.5769083912234126,0.6459089673029916,-0.06557656277812296,-0.07212386577741935
Linear Regression,2025-10-28,50,0.668550800473033,0.7534936231363497,0.12101141020655631,-0.16609374972
Linear Regression,2025-10-29,39,0.5301535836526304,0.6590289755052186,0.019094500571298276,-0.2842986283589744
Linear Regression,2025-10-30,58,0.5345864445910289,0.6314245826283326,-0.13119824494010415,-0.21233920407068965
Linear Regression,2025-10-31,49,0.5514216307956944,0.6719302668523147,0.011479436795284249,-0.24177395608163268
Linear Regression,2025-11-03,27,0.452946260852972,0.5454544592268203,0.003313953815786927,-0.21705910007407406
Linear Regression,2025-11-04,39,0.46547759306046715,0.5387708560272679,-0.38115324395207256,-0.2248472557179487
Linear Regression,2025-11-05,21,0.3755629461027409,0.4702741753920734,-0.25644739078623907,-0.35915410999999997
Linear Regression,2025-11-06,24,0.31219010710315825,0.3963981448824087,-0.28337500321989256,-0.32003784
Linear Regression,2025-11-07,25,0.44872014916267583,0.53976302082345,-0.3970564894378185,-0.2927343744
Linear Regression,2025-11-10,26,0.4530203983382442,0.5438676624085967,-0.5797752434244523,-0.3198148291538461
Linear Regression,2025-11-11,26,0.38298708260645903,0.4453812326214237,-0.6995792504973136,-0.4025784992307692
Linear Regression,2025-11-12,21,0.5456676928771637,0.5795215747662754,-0.5520115909831864,-0.3042805985714286
Linear Regression,2025-11-13,18,0.4403743258412043,0.5060113990881314,-0.7133575197723176,-0.4000108505555555
Linear Regression,2025-11-14,33,0.4620177304048528,0.5077288782594774,-0.70503772998398,-0.3030376995757576
Linear Regression,2025-11-17,32,0.5399760473711752,0.5981855812178691,-0.8600367773324251,-0.32006072996125
Linear Regression,2025-11-18,20,0.4278979035194671,0.4889725434347237,-0.6814870437607169,-0.29062499855
Linear Regression,2025-11-19,29,0.30534494167192594,0.40385931405100045,-0.32233051001897145,-0.2783624052275862
Linear Regression,2025-11-20,19,0.2186244220064191,0.2561109739363236,-0.45044055581092834,-0.29199218757894735
Linear Regression,2025-11-21,24,0.3749729939507622,0.5250264933396547,-0.3334377268329263,-0.2993469260875
Linear Regression,2025-11-24,40,0.30883475196661553,0.4084842524811021,-0.3597063962370157,-0.276733398
Linear Regression,2025-11-25,29,0.2942470325204938,0.3521169657607031,-0.4900795557889445,-0.2336509954137931
Linear Regression,2025-11-26,33,0.4221930166303849,0.5029096064644657,-0.3659449321302501,-0.24082623224242428
Linear Regression,2025-11-27,27,0.4185261196249446,0.49502161041623644,-0.22846735165350968,-0.26847330662962965
Linear Regression,2025-11-28,39,0.3499542407362841,0.4082816816020885,-0.33838716798867935,-0.2501189401230769
Linear Regression,2025-12-01,32,0.45719458491782927,0.556344579056167,-0.11428797220651177,-0.21764373674999998
Linear Regression,2025-12-02,35,0.4194561498099978,0.5164222058623755,-0.05120044486331088,-0.13428431965142856
Linear Regression,2025-12-03,25,0.43563500178741654,0.5087217607069792,-0.11792576879262924,-0.07869140676000001
Linear Regression,2025-12-04,25,0.5107752245914363,0.578629661505102,-0.14116075962781907,-0.026005859232000002
Linear Regression,2025-12-05,30,0.4623521199852603,0.5955701930746558,0.08346801071893424,-0.059830728400000005
Linear Regression,2025-12-08,38,0.38706570859501593,0.47503539604974765,0.20761902061732193,0.03581800041
Linear Regression,2025-12-09,21,0.7062476528085018,0.784336832161375,0.6144675633737019,-0.05101376452380951
Linear Regression,2025-12-10,22,0.7608268948021011,0.9021103169904642,0.49401991814374924,-0.0818869837727273
Linear Regression,2025-12-11,27,0.8403202611105421,0.9207593079209997,0.7375843146884883,-0.09029586266666667
Linear Regression,2025-12-12,27,0.53353585690362,0.6410131363806557,0.3017797464573825,-0.06440791396296296
Linear Regression,2025-12-15,27,0.2816001267802961,0.3477555730012543,0.020687360980513464,0.05506727479999999
Linear Regression,2025-12-16,26,0.35451501205013825,0.43489283980411386,-0.14098394334387893,-0.030367337153846156
Linear Regression,2025-12-17,36,0.42129190328983607,0.4880585103880143,-0.21214387824551928,-0.051228840500000004
Linear Regression,2025-12-18,22,0.3747333899676368,0.5070530188490796,-0.10292873489247127,-0.06499689099545454
Linear Regression,2025-12-19,31,0.41715586844032004,0.561323656795361,-0.10720998959075059,-0.09569524964516128
Linear Regression,2025-12-22,41,0.5008813976420402,0.6108993898191181,-0.2593194145436694,-0.07944693209024391
Linear Regression,2025-12-23,32,0.5211697206363719,0.624243514901218,-0.23235947964712977,-0.1400909426875
Linear Regression,2025-12-24,32,0.49570313667267313,0.5986634212206076,-0.2970215806271881,-0.16014862109375
Random Forest,2025-07-21,48,0.39474228894991564,0.460664454731709,0.046077619617184006,0.013872835879166668
Random Forest,2025-07-22,30,1.0792148602553102,1.1782080285838377,0.9995107176713646,-0.01716380113333333
Random Forest,2025-07-23,30,0.8980832335255329,1.0060839663297336,0.9202205285429954,0.05589652907666666
Random Forest,2025-07-24,31,1.042597474655063,1.1443629050366617,0.9343916881949671,-0.0372492249051613
Random Forest,2025-07-25,45,0.8759579228413951,1.0185224595291644,0.7596078343999882,9.548379999999922e-05
Random Forest,2025-07-28,50,0.9595494196508274,1.0561603104547188,0.9369582717120647,0.0280394541
Random Forest,2025-07-29,60,0.6549322968165829,0.7711191187016172,0.45427825953811407,0.02583937373
Random Forest,2025-07-30,83,0.5320938482464893,0.6224622421496526,0.10702851389994822,-0.02285351660240964
Random Forest,2025-07-31,76,0.5015806234407131,0.6227156715712963,0.08838029628570535,-0.105330581
Random Forest,2025-08-01,37,0.4764723468030592,0.5666149411603881,-0.0745088876904668,-0.16550425772972974
Random Forest,2025-08-04,38,0.552331788269178,0.6305413791532501,-0.10145948068575787,-0.14564002197894738
Random Forest,2025-08-05,36,0.450417366974711,0.5149385329586719,-0.37487867526296115,-0.17175901899999999
Random Forest,2025-08-06,26,0.5395887239369462,0.5843442593720137,-0.14083578982032263,-0.11212822222807692
Random Forest,2025-08-07,36,0.4992809807675591,0.5685477804394345,-0.23988299361533588,-0.1914922437861111
Random Forest,2025-08-08,26,0.43312801661728906,0.514172657965385,-0.23521079500922218,-0.19590003239730774
Random Forest,2025-08-11,34,0.47216180148289266,0.5626217480295773,-0.23858163461965673,-0.23685396376470588
Random Forest,2025-08-12,40,0.586753980723478,0.6521877534854796,-0.021510404278524225,-0.189938330425
Random Forest,2025-08-13,40,0.5033169248783462,0.630753996005934,-0.02204249510541558,-0.1999778485875
Random Forest,2025-08-14,47,0.525295839688439,0.6159068409324112,-0.03528345249434735,-0.17224926925531914
Random Forest,2025-08-15,47,0.5205419170862516,0.6817878815571786,0.10872904429251844,-0.17463631366808513
Random Forest,2025-08-18,48,0.7853850555677919,0.9544777114020945,0.29530955080796656,-0.1610535825625
Random Forest,2025-08-19,32,0.9209374565253925,1.0752974255709062,0.6199170272011543,-0.21549412431249998
Random Forest,2025-08-20,22,0.7890269791685676,0.9082486464424676,0.5331480452282862,-0.20001528163636365
Random Forest,2025-08-21,27,0.6805522311917015,0.8170516053178296,0.43002829935263703,-0.17635041892592596
Random Forest,2025-08-22,22,0.5495920972172412,0.6748338324356824,0.021112949841401794,-0.12052049718181818
Random Forest,2025-08-25,35,0.4069444384987048,0.5004327005310425,-0.38995374560888324,-0.1527935170857143
Random Forest,2025-08-26,29,0.7106245724921233,0.7426354275263842,-0.8668567743794672,-0.21658278637931042
Random Forest,2025-08-27,48,0.5982168931957317,0.672276507386473,-0.37079950018475455,-0.16757012233333332
Random Forest,2025-08-28,44,0.4007285800417088,0.5123093295688669,-0.20006302898135883,-0.1198695961590909
Random Forest,2025-08-29,68,0.4766375569191645,0.6004752252659584,-0.1453050631166929,-0.2687798546352941
Random Forest,2025-09-03,57,0.4132362874678129,0.5140750767276178,-0.23750580723086992,-0.27730653128070176
Random Forest,2025-09-04,33,0.44269967538587657,0.5357074085067561,-0.2706651750839118,-0.2688664202121212
Random Forest,2025-09-05,40,0.40235888995812574,0.5093016821015033,-0.26589589260984214,-0.331600460675
Random Forest,2025-09-08,34,0.5268112257865081,0.5952234580185601,-0.692036332014729,-0.25120634767647054
Random Forest,2025-09-09,34,0.4998372207279085,0.5657276439637737,-0.583147019668318,-0.25234450464705876
Random Forest,2025-09-10,15,0.4088473144618151,0.46695657740026336,-0.5063832828154167,-0.3441778
Random Forest,2025-09-11,24,0.48206743403905267,0.5467799807805562,-0.7523090887504319,-0.42184709663333336
Random Forest,2025-09-12,35,0.551037400108172,0.6138556575481945,-0.5365998666201319,-0.33068617905714287
Random Forest,2025-09-15,26,0.4614973846880309,0.49355266067605263,-0.6407614733593968,-0.3078491777307692
Random Forest,2025-09-16,24,0.4362110586242056,0.5348076824703957,-0.5739597231925776,-0.29791205488333333
Random Forest,2025-09-17,26,0.3184109554985757,0.3626799949080347,-0.603710324718402,-0.3597929191923077
Random Forest,2025-09-18,30,0.40981828802792436,0.4712451926611535,-0.5061139052112897,-0.2006853128666667
Random Forest,2025-09-19,27,0.3219723393993102,0.379978150392902,-0.46342689792315167,-0.37152674878888886
Random Forest,2025-09-22,32,0.43388215223223825,0.5004306143495157,-0.50593942462001,-0.28773628065625
Random Forest,2025-09-23,20,0.5829706168129442,0.6284148348781243,-0.5915107115637511,-0.17735281415
Random Forest,2025-09-24,18,0.3867556833948803,0.4348187119927788,-0.6660241770247618,-0.32162668516666665
Random Forest,2025-09-25,23,0.43104161310068256,0.46951302424413016,-0.5250428372427173,-0.22643312573913044
Random Forest,2025-09-26,30,0.40938483036868095,0.46092144937161356,-0.4215045191347599,-0.20742279758666668
Random Forest,2025-09-29,39,0.599338542320399,0.7351579405439919,0.32395532497992885,-0.15160651774358977
Random Forest,2025-09-30,25,0.6342664962689666,0.7240595333319642,0.2917064583301544,-0.18236198788
Random Forest,2025-10-01,25,0.540288752944562,0.6379487300075993,0.2020943395793438,-0.12916501991999998
Random Forest,2025-10-02,29,0.595087391528435,0.7125313859311305,0.21972038982243375,-0.18547693148275862
Random Forest,2025-10-03,25,0.4479603182533412,0.527126203217155,0.175862440764904,-0.12207455827999998
Random Forest,2025-10-06,32,0.40275813029393936,0.4825298148204948,-0.26870964182307944,-0.09565562259375
Random Forest,2025-10-07,25,0.34055373591684174,0.39868342237822313,-0.175495589338243,-0.042632499216
Random Forest,2025-10-08,28,0.3366162585214811,0.4367030530248829,-0.17656355976526225,-0.13949789534285714
Random Forest,2025-10-09,27,0.38159708584141283,0.4885528275106933,-0.17065722467722716,-0.17691493525925922
Random Forest,2025-10-10,29,0.46879601578975677,0.5607605696709262,-0.13070322923233796,-0.11503210239655172
Random Forest,2025-10-13,25,0.9476426280889272,1.0466926526302236,0.7078819409012794,-0.16706415496
Random Forest,2025-10-14,21,1.1111331128029254,1.1746535542800562,0.9612667716684795,-0.135336958
Random Forest,2025-10-15,32,1.0129805436644508,1.0731589674126412,0.8789658676832914,-0.099017740109375
Random Forest,2025-10-16,30,0.9751106931843103,1.0602123138547157,0.8441125822563966,-0.06566844549333334
Random Forest,2025-10-17,32,0.9124564981214497,0.9997802259919618,0.7578306240029633,-0.078300152484375
Random Forest,2025-10-20,38,0.4719195336901685,0.5743345687724826,0.22908238466142825,-0.051919629747368426
Random Forest,2025-10-21,25,0.546557516043194,0.6392815021680627,0.026874018348753453,-0.06459466384
Random Forest,2025-10-22,21,0.4024532093577343,0.5247827287382304,-0.14036475024407818,-0.11169744326190477
Random Forest,2025-10-23,25,0.39319678074364384,0.5120205011676678,-0.24974001288414002,-0.25265060916
Random Forest,2025-10-24,34,0.4501501822828072,0.5512483389116704,-0.26624001962516236,-0.21500946352941175
